"rho","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13827,-2.9114e-09,-3.0864e-08,0,1,0,1,0,0
0.13827,2.5909e-09,-3.0862e-08,0,1,1,1,1,0
0.13827,5.9096e-09,-3.086e-08,0,1,2,1,2,0
0.13827,9.2283e-09,-3.0858e-08,0,1,3,1,3,0
0.13827,1.2547e-08,-3.0856e-08,0,1,4,1,4,0
0.13827,1.5865e-08,-3.0855e-08,0,1,5,1,5,0
0.13826,1.9184e-08,-3.0852e-08,0,1,6,1,6,0
0.13826,2.2502e-08,-3.0851e-08,0,1,7,1,7,0
0.13826,2.582e-08,-3.0848e-08,0,1,8,1,8,0
0.13826,2.9138e-08,-3.0847e-08,0,1,9,1,9,0
0.13826,3.2455e-08,-3.0845e-08,0,1,10,1,10,0
0.13826,3.5773e-08,-3.0843e-08,0,1,11,1,11,0
0.13826,3.909e-08,-3.0841e-08,0,1,12,1,12,0
0.13826,4.2407e-08,-3.084e-08,0,1,13,1,13,0
0.13826,4.5723e-08,-3.0837e-08,0,1,14,1,14,0
0.13826,4.9039e-08,-3.0836e-08,0,1,15,1,15,0
0.13826,5.2355e-08,-3.0833e-08,0,1,16,1,16,0
0.13826,5.567e-08,-3.0832e-08,0,1,17,1,17,0
0.13826,5.8985e-08,-3.0829e-08,0,1,18,1,18,0
0.13826,6.2299e-08,-3.0828e-08,0,1,19,1,19,0
0.13826,6.5613e-08,-3.0825e-08,0,1,20,1,20,0
0.13826,6.8926e-08,-3.0824e-08,0,1,21,1,21,0
0.13826,7.2239e-08,-3.0821e-08,0,1,22,1,22,0
0.13826,7.5551e-08,-3.0821e-08,0,1,23,1,23,0
0.13826,7.8862e-08,-3.0817e-08,0,1,24,1,24,0
0.13826,8.2173e-08,-3.0817e-08,0,1,25,1,25,0
0.13826,8.5483e-08,-3.0813e-08,0,1,26,1,26,0
0.13826,8.8793e-08,-3.0813e-08,0,1,27,1,27,0
0.13826,9.2102e-08,-3.081e-08,0,1,28,1,28,0
0.13826,9.541e-08,-3.0809e-08,0,1,29,1,29,0
0.13826,9.8717e-08,-3.0806e-08,0,1,30,1,30,0
0.13826,1.0202e-07,-3.0806e-08,0,1,31,1,31,0
0.13826,1.0533e-07,-3.0802e-08,0,1,32,1,32,0
0.13826,1.0863e-07,-3.0802e-08,0,1,33,1,33,0
0.13826,1.1194e-07,-3.0798e-08,0,1,34,1,34,0
0.13826,1.1524e-07,-3.0798e-08,0,1,35,1,35,0
0.13826,1.1854e-07,-3.0794e-08,0,1,36,1,36,0
0.13826,1.2184e-07,-3.0794e-08,0,1,37,1,37,0
0.13826,1.2514e-07,-3.079e-08,0,1,38,1,38,0
0.13826,1.2844e-07,-3.0791e-08,0,1,39,1,39,0
0.13826,1.3174e-07,-3.0786e-08,0,1,40,1,40,0
0.13826,1.3504e-07,-3.0787e-08,0,1,41,1,41,0
0.13826,1.3833e-07,-3.0782e-08,0,1,42,1,42,0
0.13826,1.4163e-07,-3.0783e-08,0,1,43,1,43,0
0.13826,1.4492e-07,-3.0778e-08,0,1,44,1,44,0
0.13826,1.4822e-07,-3.0779e-08,0,1,45,1,45,0
0.13826,1.5151e-07,-3.0775e-08,0,1,46,1,46,0
0.13826,1.548e-07,-3.0775e-08,0,1,47,1,47,0
0.13826,1.5809e-07,-3.0771e-08,0,1,48,1,48,0
0.13826,1.6137e-07,-3.0772e-08,0,1,49,1,49,0
0.13826,1.6466e-07,-3.0767e-08,0,1,50,1,50,0
0.13826,1.6794e-07,-3.0768e-08,0,1,51,1,51,0
0.13826,1.7123e-07,-3.0763e-08,0,1,52,1,52,0
0.13826,1.7451e-07,-3.0764e-08,0,1,53,1,53,0
0.13826,1.7779e-07,-3.0759e-08,0,1,54,1,54,0
0.13826,1.8107e-07,-3.076e-08,0,1,55,1,55,0
0.13826,1.8435e-07,-3.0755e-08,0,1,56,1,56,0
0.13826,1.8762e-07,-3.0757e-08,0,1,57,1,57,0
0.13826,1.909e-07,-3.0751e-08,0,1,58,1,58,0
0.13826,1.9417e-07,-3.0753e-08,0,1,59,1,59,0
0.13826,1.9744e-07,-3.0748e-08,0,1,60,1,60,0
0.13826,2.0071e-07,-3.0749e-08,0,1,61,1,61,0
0.13826,2.0398e-07,-3.0744e-08,0,1,62,1,62,0
0.13826,2.0725e-07,-3.0746e-08,0,1,63,1,63,0
0.13826,2.1051e-07,-3.074e-08,0,1,64,1,64,0
0.13826,2.1378e-07,-3.0742e-08,0,1,65,1,65,0
0.13826,2.1704e-07,-3.0736e-08,0,1,66,1,66,0
0.13826,2.203e-07,-3.0738e-08,0,1,67,1,67,0
0.13826,2.2356e-07,-3.0732e-08,0,1,68,1,68,0
0.13826,2.2681e-07,-3.0734e-08,0,1,69,1,69,0
0.13826,2.3007e-07,-3.0728e-08,0,1,70,1,70,0
0.13826,2.3332e-07,-3.0731e-08,0,1,71,1,71,0
