0.500000 2.458492 0.021747 0.196372 
0.510000 2.444671 0.024455 0.196595 
0.520000 2.430672 0.027385 0.196761 
0.530000 2.416489 0.030543 0.196867 
0.540000 2.402117 0.033938 0.196910 
0.550000 2.387549 0.037580 0.196887 
0.560000 2.372781 0.041476 0.196792 
0.570000 2.357804 0.045635 0.196623 
0.580000 2.342613 0.050066 0.196373 
0.590000 2.327199 0.054777 0.196040 
0.600000 2.311557 0.059778 0.195617 
0.610000 2.295676 0.065079 0.195099 
0.620000 2.279549 0.070688 0.194480 
0.630000 2.263167 0.076617 0.193754 
0.640000 2.246520 0.082876 0.192913 
0.650000 2.229598 0.089475 0.191951 
0.660000 2.212389 0.096428 0.190859 
0.670000 2.194882 0.103745 0.189627 
0.680000 2.177065 0.111440 0.188245 
0.690000 2.158923 0.119528 0.186703 
0.700000 2.140443 0.128022 0.184987 
0.710000 2.121607 0.136940 0.183083 
0.720000 2.102400 0.146298 0.180976 
0.730000 2.082803 0.156115 0.178647 
0.740000 2.062795 0.166411 0.176076 
0.750000 2.042354 0.177209 0.173241 
0.760000 2.021455 0.188533 0.170114 
0.770000 2.000073 0.200409 0.166664 
0.780000 1.978177 0.212868 0.162858 
0.790000 1.955733 0.225941 0.158652 
0.800000 1.932706 0.239667 0.153999 
0.810000 1.909053 0.254086 0.148841 
0.820000 1.884727 0.269244 0.143109 
0.830000 1.859676 0.285195 0.136721 
0.840000 1.833837 0.302000 0.129577 
0.850000 1.807140 0.319730 0.121551 
0.860000 1.779502 0.338466 0.112491 
0.870000 1.750826 0.358307 0.102200 
0.880000 1.720994 0.379367 0.090428 
0.890000 1.689867 0.401787 0.076843 
0.900000 1.657270 0.425742 0.061003 
0.910000 1.622986 0.451446 0.042299 
0.920000 1.586736 0.479181 0.019860 
#0.930000 1.548150 0.509313 0.000000 
#0.940000 1.506723 0.542349 0.000000 
#0.950000 1.461727 0.579015 0.000000 
#0.960000 1.412052 0.620422 0.000000 
#0.970000 1.355829 0.668437 0.000000 
#0.980000 1.289426 0.726691 0.000000 
#0.990000 1.203494 0.804535 0.000000 
