"rho","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.10346,0.036666,1,158,1,158,0
0.10345,0.036666,1,159,1,159,0
0.10343,0.036666,1,160,1,160,0
0.10341,0.036666,1,161,1,161,0
0.10339,0.036666,1,162,1,162,0
0.10337,0.036666,1,163,1,163,0
0.10335,0.036666,1,164,1,164,0
0.10333,0.036666,1,165,1,165,0
0.10331,0.036666,1,166,1,166,0
0.10329,0.036666,1,167,1,167,0
0.10327,0.036666,1,168,1,168,0
0.10325,0.036666,1,169,1,169,0
0.10323,0.036666,1,170,1,170,0
0.10321,0.036666,1,171,1,171,0
0.10319,0.036666,1,172,1,172,0
0.10317,0.036666,1,173,1,173,0
0.10315,0.036666,1,174,1,174,0
0.10313,0.036666,1,175,1,175,0
0.10311,0.036666,1,176,1,176,0
0.10309,0.036666,1,177,1,177,0
0.10306,0.036666,1,178,1,178,0
0.10304,0.036666,1,179,1,179,0
0.10302,0.036666,1,180,1,180,0
0.103,0.036666,1,181,1,181,0
0.10298,0.036666,1,182,1,182,0
0.10296,0.036666,1,183,1,183,0
0.10294,0.036666,1,184,1,184,0
0.10292,0.036666,1,185,1,185,0
0.1029,0.036666,1,186,1,186,0
0.10288,0.036666,1,187,1,187,0
0.10286,0.036666,1,188,1,188,0
0.10284,0.036666,1,189,1,189,0
0.10281,0.036666,1,190,1,190,0
0.10279,0.036666,1,191,1,191,0
0.10277,0.036666,1,192,1,192,0
0.10275,0.036666,1,193,1,193,0
0.10273,0.036666,1,194,1,194,0
0.10271,0.036666,1,195,1,195,0
0.10269,0.036666,1,196,1,196,0
0.10266,0.036666,1,197,1,197,0
0.10264,0.036666,1,198,1,198,0
0.10262,0.036666,1,199,1,199,0
0.1026,0.036666,1,200,1,200,0
0.10258,0.036666,1,201,1,201,0
0.10255,0.036666,1,202,1,202,0
0.10253,0.036666,1,203,1,203,0
0.10251,0.036666,1,204,1,204,0
0.10249,0.036666,1,205,1,205,0
0.10247,0.036666,1,206,1,206,0
0.10244,0.036666,1,207,1,207,0
0.10242,0.036666,1,208,1,208,0
0.1024,0.036666,1,209,1,209,0
0.10238,0.036666,1,210,1,210,0
0.10235,0.036666,1,211,1,211,0
0.10233,0.036666,1,212,1,212,0
0.10231,0.036666,1,213,1,213,0
0.10229,0.036666,1,214,1,214,0
0.10226,0.036666,1,215,1,215,0
0.10224,0.036666,1,216,1,216,0
0.10222,0.036666,1,217,1,217,0
0.10219,0.036666,1,218,1,218,0
0.10217,0.036666,1,219,1,219,0
0.10215,0.036666,1,220,1,220,0
0.10212,0.036666,1,221,1,221,0
0.1021,0.036666,1,222,1,222,0
0.10208,0.036666,1,223,1,223,0
0.10205,0.036666,1,224,1,224,0
0.10203,0.036666,1,225,1,225,0
0.102,0.036666,1,226,1,226,0
0.10198,0.036666,1,227,1,227,0
0.10196,0.036666,1,228,1,228,0
0.10193,0.036666,1,229,1,229,0
0.10191,0.036666,1,230,1,230,0
0.10188,0.036666,1,231,1,231,0
0.10186,0.036666,1,232,1,232,0
0.10183,0.036666,1,233,1,233,0
0.10181,0.036666,1,234,1,234,0
0.10179,0.036666,1,235,1,235,0
0.10176,0.036666,1,236,1,236,0
0.10174,0.036666,1,237,1,237,0
0.10171,0.036666,1,238,1,238,0
0.10168,0.036666,1,239,1,239,0
0.10166,0.036666,1,240,1,240,0
0.10163,0.036666,1,241,1,241,0
0.10161,0.036666,1,242,1,242,0
0.10158,0.036666,1,243,1,243,0
0.10155,0.036666,1,244,1,244,0
0.10153,0.036666,1,245,1,245,0
0.1015,0.036666,1,246,1,246,0
0.10147,0.036666,1,247,1,247,0
0.10144,0.036666,1,248,1,248,0
0.10141,0.036666,1,249,1,249,0
0.10138,0.036666,1,250,1,250,0
0.10135,0.036666,1,251,1,251,0
0.10132,0.036666,1,252,1,252,0
0.10129,0.036666,1,253,1,253,0
0.10125,0.036666,1,254,1,254,0
0.10122,0.036666,1,255,1,255,0
0.10118,0.036666,1,256,1,256,0
0.10114,0.036666,1,257,1,257,0
0.1011,0.036666,1,258,1,258,0
0.10106,0.036666,1,259,1,259,0
0.10101,0.036666,1,260,1,260,0
0.10096,0.036666,1,261,1,261,0
0.1009,0.036666,1,262,1,262,0
0.10084,0.036666,1,263,1,263,0
0.10078,0.036666,1,264,1,264,0
0.10071,0.036666,1,265,1,265,0
0.10063,0.036666,1,266,1,266,0
0.10054,0.036666,1,267,1,267,0
0.10043,0.036666,1,268,1,268,0
0.10032,0.036666,1,269,1,269,0
0.1002,0.036666,1,270,1,270,0
0.10005,0.036666,1,271,1,271,0
0.099889,0.036666,1,272,1,272,0
0.099704,0.036666,1,273,1,273,0
0.099495,0.036666,1,274,1,274,0
0.099257,0.036666,1,275,1,275,0
0.098986,0.036666,1,276,1,276,0
0.09868,0.036666,1,277,1,277,0
0.098332,0.036666,1,278,1,278,0
0.097938,0.036666,1,279,1,279,0
0.097494,0.036666,1,280,1,280,0
0.096994,0.036666,1,281,1,281,0
0.096434,0.036666,1,282,1,282,0
0.09581,0.036666,1,283,1,283,0
0.095118,0.036666,1,284,1,284,0
0.094355,0.036666,1,285,1,285,0
0.09352,0.036666,1,286,1,286,0
0.092612,0.036666,1,287,1,287,0
0.091634,0.036666,1,288,1,288,0
0.090589,0.036666,1,289,1,289,0
0.089483,0.036666,1,290,1,290,0
0.088324,0.036666,1,291,1,291,0
0.087121,0.036666,1,292,1,292,0
0.085887,0.036666,1,293,1,293,0
0.084633,0.036666,1,294,1,294,0
0.083372,0.036666,1,295,1,295,0
0.082119,0.036666,1,296,1,296,0
0.080885,0.036666,1,297,1,297,0
0.079683,0.036666,1,298,1,298,0
0.078523,0.036666,1,299,1,299,0
0.077414,0.036666,1,300,1,300,0
0.076362,0.036666,1,301,1,301,0
0.075374,0.036666,1,302,1,302,0
0.074451,0.036666,1,303,1,303,0
0.073595,0.036666,1,304,1,304,0
0.072807,0.036666,1,305,1,305,0
0.072085,0.036666,1,306,1,306,0
0.071427,0.036666,1,307,1,307,0
0.07083,0.036666,1,308,1,308,0
0.070291,0.036666,1,309,1,309,0
0.069804,0.036666,1,310,1,310,0
0.069368,0.036666,1,311,1,311,0
0.068976,0.036666,1,312,1,312,0
0.068626,0.036666,1,313,1,313,0
0.068314,0.036666,1,314,1,314,0
0.068035,0.036666,1,315,1,315,0
0.067786,0.036666,1,316,1,316,0
0.067564,0.036666,1,317,1,317,0
0.067367,0.036666,1,318,1,318,0
0.067191,0.036666,1,319,1,319,0
0.067034,0.036666,1,320,1,320,0
0.066894,0.036666,1,321,1,321,0
0.066768,0.036666,1,322,1,322,0
0.066656,0.036666,1,323,1,323,0
0.066555,0.036666,1,324,1,324,0
0.066464,0.036666,1,325,1,325,0
0.066381,0.036666,1,326,1,326,0
0.066307,0.036666,1,327,1,327,0
0.066239,0.036666,1,328,1,328,0
0.066177,0.036666,1,329,1,329,0
0.06612,0.036666,1,330,1,330,0
0.066068,0.036666,1,331,1,331,0
0.06602,0.036666,1,332,1,332,0
0.065975,0.036666,1,333,1,333,0
0.065933,0.036666,1,334,1,334,0
0.065894,0.036666,1,335,1,335,0
0.065857,0.036666,1,336,1,336,0
0.065822,0.036666,1,337,1,337,0
0.065789,0.036666,1,338,1,338,0
0.065758,0.036666,1,339,1,339,0
0.065727,0.036666,1,340,1,340,0
0.065698,0.036666,1,341,1,341,0
0.06567,0.036666,1,342,1,342,0
0.065643,0.036666,1,343,1,343,0
0.065616,0.036666,1,344,1,344,0
0.06559,0.036666,1,345,1,345,0
0.065565,0.036666,1,346,1,346,0
0.065541,0.036666,1,347,1,347,0
0.065517,0.036666,1,348,1,348,0
0.065493,0.036666,1,349,1,349,0
0.065469,0.036666,1,350,1,350,0
0.065446,0.036666,1,351,1,351,0
0.065424,0.036666,1,352,1,352,0
0.065401,0.036666,1,353,1,353,0
0.065379,0.036666,1,354,1,354,0
0.065357,0.036666,1,355,1,355,0
0.065335,0.036666,1,356,1,356,0
0.065314,0.036666,1,357,1,357,0
0.065292,0.036666,1,358,1,358,0
0.065271,0.036666,1,359,1,359,0
0.06525,0.036666,1,360,1,360,0
0.065228,0.036666,1,361,1,361,0
0.065207,0.036666,1,362,1,362,0
0.065187,0.036666,1,363,1,363,0
0.065166,0.036666,1,364,1,364,0
0.065145,0.036666,1,365,1,365,0
0.065125,0.036666,1,366,1,366,0
0.065104,0.036666,1,367,1,367,0
0.065084,0.036666,1,368,1,368,0
0.065064,0.036666,1,369,1,369,0
0.065043,0.036666,1,370,1,370,0
0.065023,0.036666,1,371,1,371,0
0.065003,0.036666,1,372,1,372,0
0.064983,0.036666,1,373,1,373,0
0.064963,0.036666,1,374,1,374,0
0.064943,0.036666,1,375,1,375,0
0.064924,0.036666,1,376,1,376,0
0.064904,0.036666,1,377,1,377,0
0.064884,0.036666,1,378,1,378,0
0.064865,0.036666,1,379,1,379,0
0.064845,0.036666,1,380,1,380,0
0.064826,0.036666,1,381,1,381,0
0.064806,0.036666,1,382,1,382,0
0.064787,0.036666,1,383,1,383,0
0.064767,0.036666,1,384,1,384,0
0.064748,0.036666,1,385,1,385,0
0.064729,0.036666,1,386,1,386,0
0.06471,0.036666,1,387,1,387,0
0.064691,0.036666,1,388,1,388,0
0.064672,0.036666,1,389,1,389,0
0.064653,0.036666,1,390,1,390,0
0.064634,0.036666,1,391,1,391,0
0.064615,0.036666,1,392,1,392,0
0.064596,0.036666,1,393,1,393,0
0.064577,0.036666,1,394,1,394,0
0.064559,0.036666,1,395,1,395,0
0.06454,0.036666,1,396,1,396,0
0.064521,0.036666,1,397,1,397,0
0.064503,0.036666,1,398,1,398,0
0.064484,0.036666,1,399,1,399,0
0.064466,0.036666,1,400,1,400,0
0.064448,0.036666,1,401,1,401,0
0.064429,0.036666,1,402,1,402,0
0.064411,0.036666,1,403,1,403,0
0.064393,0.036666,1,404,1,404,0
0.064374,0.036666,1,405,1,405,0
0.064356,0.036666,1,406,1,406,0
0.064338,0.036666,1,407,1,407,0
0.06432,0.036666,1,408,1,408,0
0.064302,0.036666,1,409,1,409,0
0.064284,0.036666,1,410,1,410,0
0.064266,0.036666,1,411,1,411,0
0.064248,0.036666,1,412,1,412,0
0.06423,0.036666,1,413,1,413,0
0.064213,0.036666,1,414,1,414,0
0.064195,0.036666,1,415,1,415,0
0.064177,0.036666,1,416,1,416,0
0.06416,0.036666,1,417,1,417,0
0.064142,0.036666,1,418,1,418,0
0.064124,0.036666,1,419,1,419,0
0.064107,0.036666,1,420,1,420,0
0.064089,0.036666,1,421,1,421,0
0.064072,0.036666,1,422,1,422,0
0.064054,0.036666,1,423,1,423,0
0.064037,0.036666,1,424,1,424,0
0.06402,0.036666,1,425,1,425,0
0.064003,0.036666,1,426,1,426,0
0.063985,0.036666,1,427,1,427,0
0.063968,0.036666,1,428,1,428,0
0.063951,0.036666,1,429,1,429,0
0.063934,0.036666,1,430,1,430,0
0.063917,0.036666,1,431,1,431,0
0.0639,0.036666,1,432,1,432,0
0.063883,0.036666,1,433,1,433,0
0.063866,0.036666,1,434,1,434,0
0.063849,0.036666,1,435,1,435,0
0.063832,0.036666,1,436,1,436,0
0.063815,0.036666,1,437,1,437,0
0.063798,0.036666,1,438,1,438,0
0.063782,0.036666,1,439,1,439,0
0.063765,0.036666,1,440,1,440,0
0.063748,0.036666,1,441,1,441,0
0.063732,0.036666,1,442,1,442,0
0.063715,0.036666,1,443,1,443,0
0.063698,0.036666,1,444,1,444,0
0.063682,0.036666,1,445,1,445,0
0.063665,0.036666,1,446,1,446,0
0.063649,0.036666,1,447,1,447,0
0.063632,0.036666,1,448,1,448,0
0.063616,0.036666,1,449,1,449,0
0.0636,0.036666,1,450,1,450,0
0.063583,0.036666,1,451,1,451,0
0.063567,0.036666,1,452,1,452,0
0.063551,0.036666,1,453,1,453,0
0.063535,0.036666,1,454,1,454,0
0.063518,0.036666,1,455,1,455,0
0.063502,0.036666,1,456,1,456,0
0.063486,0.036666,1,457,1,457,0
0.06347,0.036666,1,458,1,458,0
0.063454,0.036666,1,459,1,459,0
0.063438,0.036666,1,460,1,460,0
0.063422,0.036666,1,461,1,461,0
0.063406,0.036666,1,462,1,462,0
0.06339,0.036666,1,463,1,463,0
0.063374,0.036666,1,464,1,464,0
0.063358,0.036666,1,465,1,465,0
0.063343,0.036666,1,466,1,466,0
0.063327,0.036666,1,467,1,467,0
0.063311,0.036666,1,468,1,468,0
0.063295,0.036666,1,469,1,469,0
0.06328,0.036666,1,470,1,470,0
0.063264,0.036666,1,471,1,471,0
0.063248,0.036666,1,472,1,472,0
0.063233,0.036666,1,473,1,473,0
0.063217,0.036666,1,474,1,474,0
0.063202,0.036666,1,475,1,475,0
0.063186,0.036666,1,476,1,476,0
0.063171,0.036666,1,477,1,477,0
0.063155,0.036666,1,478,1,478,0
0.06314,0.036666,1,479,1,479,0
0.063125,0.036666,1,480,1,480,0
0.063109,0.036666,1,481,1,481,0
0.063094,0.036666,1,482,1,482,0
0.063079,0.036666,1,483,1,483,0
0.063063,0.036666,1,484,1,484,0
0.063048,0.036666,1,485,1,485,0
0.063033,0.036666,1,486,1,486,0
0.063018,0.036666,1,487,1,487,0
0.063003,0.036666,1,488,1,488,0
0.062987,0.036666,1,489,1,489,0
0.062972,0.036666,1,490,1,490,0
0.062957,0.036666,1,491,1,491,0
0.062942,0.036666,1,492,1,492,0
0.062927,0.036666,1,493,1,493,0
0.062912,0.036666,1,494,1,494,0
0.062897,0.036666,1,495,1,495,0
0.062882,0.036666,1,496,1,496,0
0.062868,0.036666,1,497,1,497,0
0.062853,0.036666,1,498,1,498,0
0.062838,0.036666,1,499,1,499,0
0.062823,0.036666,1,500,1,500,0
0.062808,0.036666,1,501,1,501,0
0.062794,0.036666,1,502,1,502,0
0.062779,0.036666,1,503,1,503,0
0.062764,0.036666,1,504,1,504,0
0.062749,0.036666,1,505,1,505,0
0.062735,0.036666,1,506,1,506,0
0.06272,0.036666,1,507,1,507,0
0.062706,0.036666,1,508,1,508,0
0.062691,0.036666,1,509,1,509,0
0.062676,0.036666,1,510,1,510,0
0.062662,0.036666,1,511,1,511,0
0.062647,0.036666,1,512,1,512,0
0.062633,0.036666,1,513,1,513,0
0.062619,0.036666,1,514,1,514,0
0.062604,0.036666,1,515,1,515,0
0.06259,0.036666,1,516,1,516,0
0.062575,0.036666,1,517,1,517,0
0.062561,0.036666,1,518,1,518,0
0.062547,0.036666,1,519,1,519,0
0.062532,0.036666,1,520,1,520,0
0.062518,0.036666,1,521,1,521,0
0.062504,0.036666,1,522,1,522,0
0.06249,0.036666,1,523,1,523,0
0.062476,0.036666,1,524,1,524,0
0.062461,0.036666,1,525,1,525,0
0.062447,0.036666,1,526,1,526,0
0.062433,0.036666,1,527,1,527,0
0.062419,0.036666,1,528,1,528,0
0.062405,0.036666,1,529,1,529,0
0.062391,0.036666,1,530,1,530,0
0.062377,0.036666,1,531,1,531,0
0.062363,0.036666,1,532,1,532,0
0.062349,0.036666,1,533,1,533,0
0.062335,0.036666,1,534,1,534,0
0.062321,0.036666,1,535,1,535,0
0.062307,0.036666,1,536,1,536,0
0.062293,0.036666,1,537,1,537,0
0.062279,0.036666,1,538,1,538,0
0.062265,0.036666,1,539,1,539,0
0.062252,0.036666,1,540,1,540,0
0.062238,0.036666,1,541,1,541,0
0.062224,0.036666,1,542,1,542,0
0.06221,0.036666,1,543,1,543,0
0.062197,0.036666,1,544,1,544,0
0.062183,0.036666,1,545,1,545,0
0.062169,0.036666,1,546,1,546,0
0.062156,0.036666,1,547,1,547,0
0.062142,0.036666,1,548,1,548,0
0.062128,0.036666,1,549,1,549,0
0.062115,0.036666,1,550,1,550,0
0.062101,0.036666,1,551,1,551,0
0.062088,0.036666,1,552,1,552,0
0.062074,0.036666,1,553,1,553,0
0.06206,0.036666,1,554,1,554,0
0.062047,0.036666,1,555,1,555,0
0.062033,0.036666,1,556,1,556,0
0.06202,0.036666,1,557,1,557,0
0.062007,0.036666,1,558,1,558,0
0.061993,0.036666,1,559,1,559,0
0.06198,0.036666,1,560,1,560,0
0.061966,0.036666,1,561,1,561,0
0.061953,0.036666,1,562,1,562,0
0.06194,0.036666,1,563,1,563,0
0.061927,0.036666,1,564,1,564,0
0.061913,0.036666,1,565,1,565,0
0.0619,0.036666,1,566,1,566,0
0.061887,0.036666,1,567,1,567,0
0.061874,0.036666,1,568,1,568,0
0.06186,0.036666,1,569,1,569,0
0.061847,0.036666,1,570,1,570,0
0.061834,0.036666,1,571,1,571,0
0.061821,0.036666,1,572,1,572,0
0.061808,0.036666,1,573,1,573,0
0.061795,0.036666,1,574,1,574,0
0.061782,0.036666,1,575,1,575,0
