# Caso   Tr   rhol   rhog   cl   cg
1   0.990000   0.101000   0.066100   1.212000   0.793200
2   0.980000   0.108000   0.059700   1.296000   0.716400
3   0.960000   0.117000   0.050600   1.404000   0.607200
4   0.940000   0.125000   0.043600   1.500000   0.523200
5   0.920000   0.131000   0.037700   1.572000   0.452400
6   0.900000   0.137000   0.032700   1.644000   0.392400
7   0.850000   0.149000   0.022300   1.788000   0.267600
8   0.800000   0.160000   0.014100   1.920000   0.169200
9   0.750000   0.169000   0.007470   2.028000   0.089640
10   0.700000   0.177000   0.002290   2.124000   0.027480
