"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16177,2.0697e-15,-1.2346e-07,0,0.02963,1,0,1,0,0
0.16176,-3.4124e-14,-1.2343e-07,0,0.029634,1,1,1,1,0
0.16174,-6.8869e-14,-1.2342e-07,0,0.029639,1,2,1,2,0
0.16171,-1.0373e-13,-1.2341e-07,0,0.029643,1,3,1,3,0
0.16169,-1.3837e-13,-1.2341e-07,0,0.029648,1,4,1,4,0
0.16166,-1.7278e-13,-1.234e-07,0,0.029652,1,5,1,5,0
0.16163,-2.0694e-13,-1.234e-07,0,0.029657,1,6,1,6,0
0.1616,-2.4086e-13,-1.234e-07,0,0.029661,1,7,1,7,0
0.16158,-2.7452e-13,-1.234e-07,0,0.029666,1,8,1,8,0
0.16155,-3.0793e-13,-1.234e-07,0,0.02967,1,9,1,9,0
0.16152,-3.4112e-13,-1.234e-07,0,0.029675,1,10,1,10,0
0.16149,-3.7403e-13,-1.2341e-07,0,0.029679,1,11,1,11,0
0.16146,-4.0671e-13,-1.2341e-07,0,0.029684,1,12,1,12,0
0.16144,-4.3917e-13,-1.2342e-07,0,0.029688,1,13,1,13,0
0.16141,-4.7134e-13,-1.2343e-07,0,0.029693,1,14,1,14,0
0.16138,-5.0328e-13,-1.2344e-07,0,0.029698,1,15,1,15,0
0.16135,-5.35e-13,-1.2345e-07,0,0.029702,1,16,1,16,0
0.16133,-5.6642e-13,-1.2347e-07,0,0.029707,1,17,1,17,0
0.1613,-5.9766e-13,-1.2348e-07,0,0.029711,1,18,1,18,0
0.16127,-6.2873e-13,-1.235e-07,0,0.029716,1,19,1,19,0
0.16124,-6.5955e-13,-1.2352e-07,0,0.02972,1,20,1,20,0
0.16121,-6.9013e-13,-1.2354e-07,0,0.029725,1,21,1,21,0
0.16119,-7.2049e-13,-1.2356e-07,0,0.029729,1,22,1,22,0
0.16116,-7.5056e-13,-1.2358e-07,0,0.029734,1,23,1,23,0
0.16113,-7.8041e-13,-1.236e-07,0,0.029738,1,24,1,24,0
0.1611,-8.1002e-13,-1.2363e-07,0,0.029743,1,25,1,25,0
0.16107,-8.3935e-13,-1.2365e-07,0,0.029747,1,26,1,26,0
0.16105,-8.6846e-13,-1.2368e-07,0,0.029752,1,27,1,27,0
0.16102,-8.9735e-13,-1.2371e-07,0,0.029757,1,28,1,28,0
0.16099,-9.2604e-13,-1.2374e-07,0,0.029761,1,29,1,29,0
0.16096,-9.544e-13,-1.2377e-07,0,0.029766,1,30,1,30,0
0.16093,-9.825e-13,-1.2381e-07,0,0.02977,1,31,1,31,0
0.1609,-1.0104e-12,-1.2384e-07,0,0.029775,1,32,1,32,0
0.16088,-1.038e-12,-1.2388e-07,0,0.029779,1,33,1,33,0
0.16085,-1.0653e-12,-1.2392e-07,0,0.029784,1,34,1,34,0
0.16082,-1.0925e-12,-1.2396e-07,0,0.029788,1,35,1,35,0
0.16079,-1.1193e-12,-1.24e-07,0,0.029793,1,36,1,36,0
0.16076,-1.1459e-12,-1.2405e-07,0,0.029797,1,37,1,37,0
0.16074,-1.1723e-12,-1.2409e-07,0,0.029802,1,38,1,38,0
0.16071,-1.1984e-12,-1.2414e-07,0,0.029807,1,39,1,39,0
0.16068,-1.2243e-12,-1.2418e-07,0,0.029811,1,40,1,40,0
0.16065,-1.2499e-12,-1.2423e-07,0,0.029816,1,41,1,41,0
0.16062,-1.2754e-12,-1.2428e-07,0,0.02982,1,42,1,42,0
0.16059,-1.3005e-12,-1.2434e-07,0,0.029825,1,43,1,43,0
0.16056,-1.3253e-12,-1.2439e-07,0,0.029829,1,44,1,44,0
0.16054,-1.3499e-12,-1.2444e-07,0,0.029834,1,45,1,45,0
0.16051,-1.3742e-12,-1.245e-07,0,0.029838,1,46,1,46,0
0.16048,-1.3982e-12,-1.2456e-07,0,0.029843,1,47,1,47,0
0.16045,-1.4222e-12,-1.2462e-07,0,0.029848,1,48,1,48,0
0.16042,-1.4458e-12,-1.2468e-07,0,0.029852,1,49,1,49,0
0.16039,-1.4691e-12,-1.2474e-07,0,0.029857,1,50,1,50,0
0.16036,-1.4923e-12,-1.2481e-07,0,0.029861,1,51,1,51,0
0.16034,-1.5151e-12,-1.2487e-07,0,0.029866,1,52,1,52,0
0.16031,-1.5377e-12,-1.2494e-07,0,0.02987,1,53,1,53,0
0.16028,-1.5601e-12,-1.2501e-07,0,0.029875,1,54,1,54,0
0.16025,-1.5822e-12,-1.2508e-07,0,0.02988,1,55,1,55,0
0.16022,-1.604e-12,-1.2515e-07,0,0.029884,1,56,1,56,0
0.16019,-1.6256e-12,-1.2522e-07,0,0.029889,1,57,1,57,0
0.16016,-1.6469e-12,-1.253e-07,0,0.029893,1,58,1,58,0
0.16013,-1.6679e-12,-1.2537e-07,0,0.029898,1,59,1,59,0
0.16011,-1.6888e-12,-1.2545e-07,0,0.029902,1,60,1,60,0
0.16008,-1.7094e-12,-1.2553e-07,0,0.029907,1,61,1,61,0
0.16005,-1.7297e-12,-1.2561e-07,0,0.029912,1,62,1,62,0
0.16002,-1.7498e-12,-1.257e-07,0,0.029916,1,63,1,63,0
0.15999,-1.7696e-12,-1.2578e-07,0,0.029921,1,64,1,64,0
0.15996,-1.7891e-12,-1.2586e-07,0,0.029925,1,65,1,65,0
0.15993,-1.8085e-12,-1.2595e-07,0,0.02993,1,66,1,66,0
0.1599,-1.8277e-12,-1.2604e-07,0,0.029934,1,67,1,67,0
0.15987,-1.8466e-12,-1.2613e-07,0,0.029939,1,68,1,68,0
0.15985,-1.8651e-12,-1.2622e-07,0,0.029944,1,69,1,69,0
0.15982,-1.8834e-12,-1.2631e-07,0,0.029948,1,70,1,70,0
0.15979,-1.9015e-12,-1.2641e-07,0,0.029953,1,71,1,71,0
0.15976,-1.9194e-12,-1.265e-07,0,0.029957,1,72,1,72,0
0.15973,-1.9371e-12,-1.266e-07,0,0.029962,1,73,1,73,0
0.1597,-1.9546e-12,-1.267e-07,0,0.029966,1,74,1,74,0
0.15967,-1.9717e-12,-1.268e-07,0,0.029971,1,75,1,75,0
0.15964,-1.9887e-12,-1.269e-07,0,0.029976,1,76,1,76,0
0.15961,-2.0053e-12,-1.2701e-07,0,0.02998,1,77,1,77,0
0.15958,-2.0217e-12,-1.2711e-07,0,0.029985,1,78,1,78,0
0.15955,-2.0379e-12,-1.2722e-07,0,0.029989,1,79,1,79,0
0.15952,-2.0538e-12,-1.2732e-07,0,0.029994,1,80,1,80,0
0.15949,-2.0694e-12,-1.2743e-07,0,0.029999,1,81,1,81,0
0.15946,-2.0848e-12,-1.2754e-07,0,0.030003,1,82,1,82,0
0.15944,-2.0998e-12,-1.2766e-07,0,0.030008,1,83,1,83,0
0.15941,-2.1146e-12,-1.2777e-07,0,0.030012,1,84,1,84,0
0.15938,-2.1293e-12,-1.2788e-07,0,0.030017,1,85,1,85,0
0.15935,-2.1437e-12,-1.28e-07,0,0.030022,1,86,1,86,0
0.15932,-2.1578e-12,-1.2812e-07,0,0.030026,1,87,1,87,0
0.15929,-2.1717e-12,-1.2824e-07,0,0.030031,1,88,1,88,0
0.15926,-2.1853e-12,-1.2836e-07,0,0.030035,1,89,1,89,0
0.15923,-2.1987e-12,-1.2848e-07,0,0.03004,1,90,1,90,0
0.1592,-2.2118e-12,-1.2861e-07,0,0.030044,1,91,1,91,0
0.15917,-2.2246e-12,-1.2873e-07,0,0.030049,1,92,1,92,0
0.15914,-2.2372e-12,-1.2886e-07,0,0.030054,1,93,1,93,0
0.15911,-2.2495e-12,-1.2898e-07,0,0.030058,1,94,1,94,0
0.15908,-2.2616e-12,-1.2911e-07,0,0.030063,1,95,1,95,0
0.15905,-2.2734e-12,-1.2925e-07,0,0.030067,1,96,1,96,0
0.15902,-2.2849e-12,-1.2938e-07,0,0.030072,1,97,1,97,0
0.15899,-2.2962e-12,-1.2951e-07,0,0.030077,1,98,1,98,0
0.15896,-2.3073e-12,-1.2965e-07,0,0.030081,1,99,1,99,0
0.15893,-2.318e-12,-1.2978e-07,0,0.030086,1,100,1,100,0
0.1589,-2.3286e-12,-1.2992e-07,0,0.03009,1,101,1,101,0
0.15887,-2.3388e-12,-1.3006e-07,0,0.030095,1,102,1,102,0
0.15884,-2.3488e-12,-1.302e-07,0,0.0301,1,103,1,103,0
0.15881,-2.3586e-12,-1.3034e-07,0,0.030104,1,104,1,104,0
0.15878,-2.3682e-12,-1.3049e-07,0,0.030109,1,105,1,105,0
0.15875,-2.3776e-12,-1.3063e-07,0,0.030114,1,106,1,106,0
0.15872,-2.3867e-12,-1.3078e-07,0,0.030118,1,107,1,107,0
0.15869,-2.3955e-12,-1.3092e-07,0,0.030123,1,108,1,108,0
0.15866,-2.4041e-12,-1.3107e-07,0,0.030127,1,109,1,109,0
0.15863,-2.4124e-12,-1.3122e-07,0,0.030132,1,110,1,110,0
0.1586,-2.4205e-12,-1.3137e-07,0,0.030137,1,111,1,111,0
0.15857,-2.4284e-12,-1.3153e-07,0,0.030141,1,112,1,112,0
0.15854,-2.4359e-12,-1.3168e-07,0,0.030146,1,113,1,113,0
0.15851,-2.4432e-12,-1.3184e-07,0,0.03015,1,114,1,114,0
0.15848,-2.4502e-12,-1.3199e-07,0,0.030155,1,115,1,115,0
0.15845,-2.457e-12,-1.3215e-07,0,0.03016,1,116,1,116,0
0.15842,-2.4635e-12,-1.3231e-07,0,0.030164,1,117,1,117,0
0.15839,-2.4698e-12,-1.3247e-07,0,0.030169,1,118,1,118,0
0.15836,-2.4758e-12,-1.3263e-07,0,0.030173,1,119,1,119,0
0.15833,-2.4815e-12,-1.328e-07,0,0.030178,1,120,1,120,0
0.1583,-2.487e-12,-1.3296e-07,0,0.030183,1,121,1,121,0
0.15827,-2.4921e-12,-1.3313e-07,0,0.030187,1,122,1,122,0
0.15823,-2.4971e-12,-1.333e-07,0,0.030192,1,123,1,123,0
0.1582,-2.5019e-12,-1.3346e-07,0,0.030197,1,124,1,124,0
0.15817,-2.5063e-12,-1.3363e-07,0,0.030201,1,125,1,125,0
0.15813,-2.5105e-12,-1.3381e-07,0,0.030206,1,126,1,126,0
0.15808,-2.5143e-12,-1.3398e-07,0,0.03021,1,127,1,127,0
0.158,-2.5178e-12,-1.3416e-07,0,0.030215,1,128,1,128,0
0.15785,-2.521e-12,-1.3435e-07,0,0.03022,1,129,1,129,0
0.15751,-2.5239e-12,-1.3456e-07,0,0.030224,1,130,1,130,0
0.15668,-2.5264e-12,-1.3482e-07,0,0.030229,1,131,1,131,0
0.1547,-2.5288e-12,-1.3521e-07,0,0.030234,1,132,1,132,0
0.15016,-2.5314e-12,-1.3589e-07,0,0.030239,1,133,1,133,0
0.14096,-2.5351e-12,-1.3718e-07,0,0.030244,1,134,1,134,0
0.12543,-2.541e-12,-1.3955e-07,0,0.030249,1,135,1,135,0
0.10467,-2.5486e-12,-1.4359e-07,0,0.030255,1,136,1,136,0
0.082788,-2.5533e-12,-1.4981e-07,0,0.030263,1,137,1,137,0
0.063939,-2.5514e-12,-1.5836e-07,0,0.030273,1,138,1,138,0
0.049883,-2.5454e-12,-1.6875e-07,0,0.030286,1,139,1,139,0
0.040254,-2.5397e-12,-1.7982e-07,0,0.030303,1,140,1,140,0
0.033922,-2.537e-12,-1.9028e-07,0,0.030323,1,141,1,141,0
0.029816,-2.5375e-12,-1.9919e-07,0,0.030346,1,142,1,142,0
0.027155,-2.5403e-12,-2.0615e-07,0,0.030373,1,143,1,143,0
0.025421,-2.5444e-12,-2.1121e-07,0,0.030401,1,144,1,144,0
0.02428,-2.5493e-12,-2.1468e-07,0,0.030431,1,145,1,145,0
0.023521,-2.5543e-12,-2.1692e-07,0,0.030462,1,146,1,146,0
0.023009,-2.5594e-12,-2.1826e-07,0,0.030494,1,147,1,147,0
0.022657,-2.5644e-12,-2.1898e-07,0,0.030527,1,148,1,148,0
0.022408,-2.5692e-12,-2.1928e-07,0,0.03056,1,149,1,149,0
0.022228,-2.5737e-12,-2.1928e-07,0,0.030594,1,150,1,150,0
0.022091,-2.5781e-12,-2.191e-07,0,0.030628,1,151,1,151,0
0.021983,-2.5823e-12,-2.1879e-07,0,0.030662,1,152,1,152,0
0.021894,-2.5864e-12,-2.184e-07,0,0.030696,1,153,1,153,0
0.021817,-2.5902e-12,-2.1795e-07,0,0.03073,1,154,1,154,0
0.021749,-2.5937e-12,-2.1746e-07,0,0.030764,1,155,1,155,0
0.021685,-2.597e-12,-2.1696e-07,0,0.030799,1,156,1,156,0
0.021626,-2.5999e-12,-2.1643e-07,0,0.030833,1,157,1,157,0
0.021568,-2.6026e-12,-2.1589e-07,0,0.030868,1,158,1,158,0
0.021513,-2.6051e-12,-2.1535e-07,0,0.030903,1,159,1,159,0
0.021458,-2.6075e-12,-2.148e-07,0,0.030937,1,160,1,160,0
0.021404,-2.6095e-12,-2.1425e-07,0,0.030972,1,161,1,161,0
