"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.16179,-3.0479e-13,-3.0864e-08,0,0.02963,1,0,1,0,0
0.16179,-1.0847e-12,-3.0742e-08,0,0.029631,1,1,1,1,0
0.16178,-2.0001e-12,-3.0622e-08,0,0.029632,1,2,1,2,0
0.16177,-2.9153e-12,-3.0503e-08,0,0.029633,1,3,1,3,0
0.16177,-3.8302e-12,-3.0386e-08,0,0.029634,1,4,1,4,0
0.16176,-4.745e-12,-3.0271e-08,0,0.029636,1,5,1,5,0
0.16175,-5.6596e-12,-3.0157e-08,0,0.029637,1,6,1,6,0
0.16174,-6.5739e-12,-3.0045e-08,0,0.029638,1,7,1,7,0
0.16174,-7.488e-12,-2.9934e-08,0,0.029639,1,8,1,8,0
0.16173,-8.4019e-12,-2.9825e-08,0,0.02964,1,9,1,9,0
0.16172,-9.3157e-12,-2.9718e-08,0,0.029641,1,10,1,10,0
0.16172,-1.0229e-11,-2.9612e-08,0,0.029643,1,11,1,11,0
0.16171,-1.1143e-11,-2.9507e-08,0,0.029644,1,12,1,12,0
0.1617,-1.2056e-11,-2.9405e-08,0,0.029645,1,13,1,13,0
0.16169,-1.2969e-11,-2.9303e-08,0,0.029646,1,14,1,14,0
0.16169,-1.3882e-11,-2.9204e-08,0,0.029647,1,15,1,15,0
0.16168,-1.4794e-11,-2.9106e-08,0,0.029649,1,16,1,16,0
0.16167,-1.5706e-11,-2.901e-08,0,0.02965,1,17,1,17,0
0.16167,-1.6619e-11,-2.8915e-08,0,0.029651,1,18,1,18,0
0.16166,-1.7531e-11,-2.8822e-08,0,0.029652,1,19,1,19,0
0.16165,-1.8442e-11,-2.873e-08,0,0.029653,1,20,1,20,0
0.16164,-1.9354e-11,-2.864e-08,0,0.029654,1,21,1,21,0
0.16164,-2.0265e-11,-2.8552e-08,0,0.029656,1,22,1,22,0
0.16163,-2.1176e-11,-2.8465e-08,0,0.029657,1,23,1,23,0
0.16162,-2.2087e-11,-2.838e-08,0,0.029658,1,24,1,24,0
0.16162,-2.2998e-11,-2.8296e-08,0,0.029659,1,25,1,25,0
0.16161,-2.3908e-11,-2.8214e-08,0,0.02966,1,26,1,26,0
0.1616,-2.4818e-11,-2.8134e-08,0,0.029662,1,27,1,27,0
0.16159,-2.5728e-11,-2.8055e-08,0,0.029663,1,28,1,28,0
0.16159,-2.6637e-11,-2.7978e-08,0,0.029664,1,29,1,29,0
0.16158,-2.7547e-11,-2.7902e-08,0,0.029665,1,30,1,30,0
0.16157,-2.8456e-11,-2.7829e-08,0,0.029666,1,31,1,31,0
0.16156,-2.9364e-11,-2.7756e-08,0,0.029667,1,32,1,32,0
0.16156,-3.0273e-11,-2.7686e-08,0,0.029669,1,33,1,33,0
0.16155,-3.1181e-11,-2.7616e-08,0,0.02967,1,34,1,34,0
0.16154,-3.2089e-11,-2.7549e-08,0,0.029671,1,35,1,35,0
0.16154,-3.2996e-11,-2.7483e-08,0,0.029672,1,36,1,36,0
0.16153,-3.3903e-11,-2.7419e-08,0,0.029673,1,37,1,37,0
0.16152,-3.481e-11,-2.7356e-08,0,0.029675,1,38,1,38,0
0.16151,-3.5717e-11,-2.7295e-08,0,0.029676,1,39,1,39,0
0.16151,-3.6623e-11,-2.7236e-08,0,0.029677,1,40,1,40,0
0.1615,-3.7529e-11,-2.7178e-08,0,0.029678,1,41,1,41,0
0.16149,-3.8435e-11,-2.7122e-08,0,0.029679,1,42,1,42,0
0.16149,-3.934e-11,-2.7068e-08,0,0.02968,1,43,1,43,0
0.16148,-4.0245e-11,-2.7015e-08,0,0.029682,1,44,1,44,0
