"rho","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13826,2.5634e-13,-1.2346e-07,0,1,0,1,0,0
0.13826,-2.1242e-13,-1.2346e-07,0,1,1,1,1,0
0.13826,-4.8876e-13,-1.2346e-07,0,1,2,1,2,0
0.13826,-7.6495e-13,-1.2346e-07,0,1,3,1,3,0
0.13826,-1.0409e-12,-1.2346e-07,0,1,4,1,4,0
0.13826,-1.3167e-12,-1.2346e-07,0,1,5,1,5,0
0.13826,-1.5923e-12,-1.2346e-07,0,1,6,1,6,0
0.13826,-1.8676e-12,-1.2346e-07,0,1,7,1,7,0
0.13826,-2.1426e-12,-1.2346e-07,0,1,8,1,8,0
0.13826,-2.4173e-12,-1.2346e-07,0,1,9,1,9,0
0.13826,-2.6917e-12,-1.2346e-07,0,1,10,1,10,0
0.13826,-2.9659e-12,-1.2346e-07,0,1,11,1,11,0
0.13826,-3.2396e-12,-1.2346e-07,0,1,12,1,12,0
0.13826,-3.513e-12,-1.2346e-07,0,1,13,1,13,0
0.13826,-3.786e-12,-1.2346e-07,0,1,14,1,14,0
0.13826,-4.0586e-12,-1.2346e-07,0,1,15,1,15,0
0.13826,-4.3308e-12,-1.2346e-07,0,1,16,1,16,0
0.13826,-4.6025e-12,-1.2346e-07,0,1,17,1,17,0
0.13826,-4.8737e-12,-1.2346e-07,0,1,18,1,18,0
0.13825,-5.1444e-12,-1.2346e-07,0,1,19,1,19,0
0.13825,-5.4146e-12,-1.2346e-07,0,1,20,1,20,0
0.13825,-5.6842e-12,-1.2346e-07,0,1,21,1,21,0
0.13825,-5.9531e-12,-1.2346e-07,0,1,22,1,22,0
0.13825,-6.2213e-12,-1.2346e-07,0,1,23,1,23,0
0.13825,-6.4886e-12,-1.2346e-07,0,1,24,1,24,0
0.13825,-6.7551e-12,-1.2346e-07,0,1,25,1,25,0
0.13825,-7.0208e-12,-1.2346e-07,0,1,26,1,26,0
0.13825,-7.2855e-12,-1.2346e-07,0,1,27,1,27,0
0.13825,-7.5493e-12,-1.2346e-07,0,1,28,1,28,0
0.13825,-7.8123e-12,-1.2346e-07,0,1,29,1,29,0
0.13825,-8.0742e-12,-1.2346e-07,0,1,30,1,30,0
0.13825,-8.3352e-12,-1.2346e-07,0,1,31,1,31,0
0.13825,-8.5952e-12,-1.2346e-07,0,1,32,1,32,0
0.13825,-8.8542e-12,-1.2346e-07,0,1,33,1,33,0
0.13825,-9.1122e-12,-1.2346e-07,0,1,34,1,34,0
0.13824,-9.369e-12,-1.2346e-07,0,1,35,1,35,0
0.13824,-9.6247e-12,-1.2346e-07,0,1,36,1,36,0
0.13824,-9.8794e-12,-1.2346e-07,0,1,37,1,37,0
0.13824,-1.0133e-11,-1.2346e-07,0,1,38,1,38,0
0.13824,-1.0385e-11,-1.2346e-07,0,1,39,1,39,0
0.13824,-1.0636e-11,-1.2346e-07,0,1,40,1,40,0
0.13824,-1.0886e-11,-1.2346e-07,0,1,41,1,41,0
0.13824,-1.1134e-11,-1.2346e-07,0,1,42,1,42,0
0.13824,-1.1382e-11,-1.2346e-07,0,1,43,1,43,0
0.13824,-1.1628e-11,-1.2346e-07,0,1,44,1,44,0
0.13824,-1.1872e-11,-1.2346e-07,0,1,45,1,45,0
0.13824,-1.2115e-11,-1.2346e-07,0,1,46,1,46,0
0.13824,-1.2356e-11,-1.2346e-07,0,1,47,1,47,0
0.13824,-1.2596e-11,-1.2346e-07,0,1,48,1,48,0
0.13824,-1.2835e-11,-1.2346e-07,0,1,49,1,49,0
0.13824,-1.3071e-11,-1.2346e-07,0,1,50,1,50,0
0.13824,-1.3307e-11,-1.2346e-07,0,1,51,1,51,0
0.13823,-1.354e-11,-1.2346e-07,0,1,52,1,52,0
0.13823,-1.3773e-11,-1.2346e-07,0,1,53,1,53,0
0.13823,-1.4003e-11,-1.2346e-07,0,1,54,1,54,0
0.13823,-1.4232e-11,-1.2346e-07,0,1,55,1,55,0
0.13823,-1.4459e-11,-1.2346e-07,0,1,56,1,56,0
0.13823,-1.4685e-11,-1.2346e-07,0,1,57,1,57,0
0.13823,-1.4908e-11,-1.2346e-07,0,1,58,1,58,0
0.13823,-1.513e-11,-1.2346e-07,0,1,59,1,59,0
0.13823,-1.535e-11,-1.2346e-07,0,1,60,1,60,0
0.13823,-1.5568e-11,-1.2346e-07,0,1,61,1,61,0
0.13823,-1.5784e-11,-1.2346e-07,0,1,62,1,62,0
0.13823,-1.5999e-11,-1.2346e-07,0,1,63,1,63,0
0.13823,-1.6211e-11,-1.2346e-07,0,1,64,1,64,0
0.13823,-1.6422e-11,-1.2346e-07,0,1,65,1,65,0
0.13823,-1.663e-11,-1.2346e-07,0,1,66,1,66,0
0.13823,-1.6837e-11,-1.2346e-07,0,1,67,1,67,0
0.13823,-1.7042e-11,-1.2346e-07,0,1,68,1,68,0
0.13822,-1.7244e-11,-1.2346e-07,0,1,69,1,69,0
0.13822,-1.7445e-11,-1.2346e-07,0,1,70,1,70,0
0.13822,-1.7643e-11,-1.2346e-07,0,1,71,1,71,0
0.13822,-1.784e-11,-1.2346e-07,0,1,72,1,72,0
