"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.14026,-5.5255e-15,-1.2346e-07,0,0.033333,1,0,1,0,0
0.14025,-1.7199e-14,-1.2312e-07,0,0.033337,1,1,1,1,0
0.14022,-2.7904e-14,-1.2281e-07,0,0.033342,1,2,1,2,0
0.14019,-3.8595e-14,-1.225e-07,0,0.033346,1,3,1,3,0
0.14015,-4.9214e-14,-1.2221e-07,0,0.03335,1,4,1,4,0
0.14011,-5.9783e-14,-1.2193e-07,0,0.033354,1,5,1,5,0
0.14007,-7.0278e-14,-1.2165e-07,0,0.033359,1,6,1,6,0
0.14003,-8.0705e-14,-1.2139e-07,0,0.033363,1,7,1,7,0
0.13998,-9.1065e-14,-1.2113e-07,0,0.033367,1,8,1,8,0
0.13994,-1.0135e-13,-1.2087e-07,0,0.033372,1,9,1,9,0
0.1399,-1.1159e-13,-1.2063e-07,0,0.033376,1,10,1,10,0
0.13986,-1.2173e-13,-1.2039e-07,0,0.03338,1,11,1,11,0
0.13981,-1.3182e-13,-1.2017e-07,0,0.033385,1,12,1,12,0
0.13977,-1.4184e-13,-1.1995e-07,0,0.033389,1,13,1,13,0
0.13973,-1.5179e-13,-1.1973e-07,0,0.033393,1,14,1,14,0
0.13968,-1.617e-13,-1.1953e-07,0,0.033397,1,15,1,15,0
0.13964,-1.7157e-13,-1.1934e-07,0,0.033402,1,16,1,16,0
0.1396,-1.8139e-13,-1.1915e-07,0,0.033406,1,17,1,17,0
0.13955,-1.9115e-13,-1.1897e-07,0,0.03341,1,18,1,18,0
0.13951,-2.0082e-13,-1.188e-07,0,0.033415,1,19,1,19,0
0.13946,-2.1044e-13,-1.1863e-07,0,0.033419,1,20,1,20,0
0.13942,-2.1998e-13,-1.1848e-07,0,0.033423,1,21,1,21,0
0.13938,-2.2947e-13,-1.1833e-07,0,0.033428,1,22,1,22,0
0.13933,-2.3888e-13,-1.182e-07,0,0.033432,1,23,1,23,0
0.13929,-2.4822e-13,-1.1807e-07,0,0.033436,1,24,1,24,0
0.13924,-2.5749e-13,-1.1795e-07,0,0.033441,1,25,1,25,0
0.1392,-2.6669e-13,-1.1783e-07,0,0.033445,1,26,1,26,0
0.13916,-2.7583e-13,-1.1773e-07,0,0.033449,1,27,1,27,0
0.13911,-2.8489e-13,-1.1763e-07,0,0.033453,1,28,1,28,0
0.13907,-2.9389e-13,-1.1755e-07,0,0.033458,1,29,1,29,0
0.13902,-3.0283e-13,-1.1747e-07,0,0.033462,1,30,1,30,0
0.13898,-3.1176e-13,-1.174e-07,0,0.033466,1,31,1,31,0
0.13893,-3.2062e-13,-1.1734e-07,0,0.033471,1,32,1,32,0
0.13889,-3.2942e-13,-1.1729e-07,0,0.033475,1,33,1,33,0
0.13884,-3.3814e-13,-1.1725e-07,0,0.033479,1,34,1,34,0
0.1388,-3.4681e-13,-1.1722e-07,0,0.033484,1,35,1,35,0
0.13875,-3.5539e-13,-1.1719e-07,0,0.033488,1,36,1,36,0
0.13871,-3.6391e-13,-1.1718e-07,0,0.033492,1,37,1,37,0
0.13866,-3.7236e-13,-1.1717e-07,0,0.033497,1,38,1,38,0
0.13862,-3.8074e-13,-1.1717e-07,0,0.033501,1,39,1,39,0
0.13857,-3.8907e-13,-1.1719e-07,0,0.033505,1,40,1,40,0
0.13853,-3.9737e-13,-1.1721e-07,0,0.03351,1,41,1,41,0
0.13848,-4.0561e-13,-1.1724e-07,0,0.033514,1,42,1,42,0
0.13844,-4.138e-13,-1.1728e-07,0,0.033518,1,43,1,43,0
