"rho","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13826,-3.7639e-17,-2.4691e-07,0,1,0,1,0,0
0.13826,1.1455e-14,-2.4691e-07,0,1,1,1,1,0
0.13826,2.2973e-14,-2.4691e-07,0,1,2,1,2,0
0.13826,3.4541e-14,-2.4691e-07,0,1,3,1,3,0
0.13826,4.5971e-14,-2.4691e-07,0,1,4,1,4,0
0.13826,5.7264e-14,-2.4691e-07,0,1,5,1,5,0
0.13826,6.8419e-14,-2.4691e-07,0,1,6,1,6,0
0.13826,7.9398e-14,-2.4691e-07,0,1,7,1,7,0
0.13826,9.0246e-14,-2.4691e-07,0,1,8,1,8,0
0.13825,1.0093e-13,-2.4691e-07,0,1,9,1,9,0
0.13825,1.114e-13,-2.4691e-07,0,1,10,1,10,0
0.13825,1.2174e-13,-2.4691e-07,0,1,11,1,11,0
0.13825,1.3203e-13,-2.4691e-07,0,1,12,1,12,0
0.13825,1.4212e-13,-2.4691e-07,0,1,13,1,13,0
0.13825,1.5205e-13,-2.4691e-07,0,1,14,1,14,0
0.13825,1.6186e-13,-2.4691e-07,0,1,15,1,15,0
0.13825,1.7148e-13,-2.4691e-07,0,1,16,1,16,0
0.13825,1.8098e-13,-2.4691e-07,0,1,17,1,17,0
0.13824,1.9031e-13,-2.4691e-07,0,1,18,1,18,0
0.13824,1.9942e-13,-2.4691e-07,0,1,19,1,19,0
0.13824,2.0841e-13,-2.4691e-07,0,1,20,1,20,0
0.13824,2.1734e-13,-2.4691e-07,0,1,21,1,21,0
0.13824,2.2608e-13,-2.4691e-07,0,1,22,1,22,0
0.13824,2.3459e-13,-2.4691e-07,0,1,23,1,23,0
0.13824,2.4295e-13,-2.4691e-07,0,1,24,1,24,0
0.13824,2.5117e-13,-2.4691e-07,0,1,25,1,25,0
0.13823,2.5929e-13,-2.4691e-07,0,1,26,1,26,0
0.13823,2.6729e-13,-2.4691e-07,0,1,27,1,27,0
0.13823,2.7511e-13,-2.4691e-07,0,1,28,1,28,0
0.13823,2.8281e-13,-2.4691e-07,0,1,29,1,29,0
0.13823,2.904e-13,-2.4691e-07,0,1,30,1,30,0
0.13823,2.9778e-13,-2.4691e-07,0,1,31,1,31,0
0.13823,3.0502e-13,-2.4691e-07,0,1,32,1,32,0
0.13823,3.1209e-13,-2.4691e-07,0,1,33,1,33,0
0.13823,3.1898e-13,-2.4691e-07,0,1,34,1,34,0
0.13822,3.2581e-13,-2.4691e-07,0,1,35,1,35,0
0.13822,3.3251e-13,-2.4691e-07,0,1,36,1,36,0
0.13822,3.3899e-13,-2.4691e-07,0,1,37,1,37,0
0.13822,3.4531e-13,-2.4691e-07,0,1,38,1,38,0
0.13822,3.515e-13,-2.4691e-07,0,1,39,1,39,0
0.13822,3.5752e-13,-2.4691e-07,0,1,40,1,40,0
0.13822,3.6339e-13,-2.4691e-07,0,1,41,1,41,0
0.13822,3.6913e-13,-2.4691e-07,0,1,42,1,42,0
0.13821,3.747e-13,-2.4691e-07,0,1,43,1,43,0
0.13821,3.8012e-13,-2.4691e-07,0,1,44,1,44,0
0.13821,3.8541e-13,-2.4691e-07,0,1,45,1,45,0
0.13821,3.9052e-13,-2.4691e-07,0,1,46,1,46,0
0.13821,3.9551e-13,-2.4691e-07,0,1,47,1,47,0
0.13821,4.0039e-13,-2.4691e-07,0,1,48,1,48,0
0.13821,4.0507e-13,-2.4691e-07,0,1,49,1,49,0
0.1382,4.0959e-13,-2.4691e-07,0,1,50,1,50,0
0.1382,4.1398e-13,-2.4691e-07,0,1,51,1,51,0
0.1382,4.182e-13,-2.4691e-07,0,1,52,1,52,0
0.13819,4.2229e-13,-2.4691e-07,0,1,53,1,53,0
0.13818,4.2623e-13,-2.4691e-07,0,1,54,1,54,0
0.13817,4.2997e-13,-2.4691e-07,0,1,55,1,55,0
0.13814,4.3353e-13,-2.4691e-07,0,1,56,1,56,0
0.13809,4.3692e-13,-2.4691e-07,0,1,57,1,57,0
0.138,4.4014e-13,-2.4691e-07,0,1,58,1,58,0
0.13784,4.4317e-13,-2.4691e-07,0,1,59,1,59,0
0.13754,4.4607e-13,-2.4691e-07,0,1,60,1,60,0
0.13702,4.4886e-13,-2.4691e-07,0,1,61,1,61,0
0.13608,4.5156e-13,-2.4691e-07,0,1,62,1,62,0
0.13444,4.5414e-13,-2.4691e-07,0,1,63,1,63,0
0.13166,4.5667e-13,-2.4691e-07,0,1,64,1,64,0
0.12719,4.5914e-13,-2.4691e-07,0,1,65,1,65,0
0.1205,4.6161e-13,-2.4692e-07,0,1,66,1,66,0
0.11138,4.6422e-13,-2.4692e-07,0,1,67,1,67,0
0.10032,4.6686e-13,-2.4692e-07,0,1,68,1,68,0
0.088404,4.6952e-13,-2.4692e-07,0,1,69,1,69,0
0.076941,4.7221e-13,-2.4691e-07,0,1,70,1,70,0
0.066916,4.7478e-13,-2.4691e-07,0,1,71,1,71,0
0.058766,4.7739e-13,-2.4691e-07,0,1,72,1,72,0
0.052472,4.802e-13,-2.4692e-07,0,1,73,1,73,0
0.047772,4.8322e-13,-2.4692e-07,0,1,74,1,74,0
0.044335,4.8642e-13,-2.4692e-07,0,1,75,1,75,0
0.041853,4.8976e-13,-2.4693e-07,0,1,76,1,76,0
0.040075,4.9319e-13,-2.4693e-07,0,1,77,1,77,0
0.038805,4.9656e-13,-2.4693e-07,0,1,78,1,78,0
0.037902,4.9975e-13,-2.4693e-07,0,1,79,1,79,0
0.037259,5.0266e-13,-2.4693e-07,0,1,80,1,80,0
0.036802,5.0539e-13,-2.4693e-07,0,1,81,1,81,0
0.036478,5.0798e-13,-2.4693e-07,0,1,82,1,82,0
0.036248,5.1037e-13,-2.4693e-07,0,1,83,1,83,0
0.036084,5.1252e-13,-2.4693e-07,0,1,84,1,84,0
0.035968,5.1433e-13,-2.4693e-07,0,1,85,1,85,0
0.035885,5.1581e-13,-2.4693e-07,0,1,86,1,86,0
0.035826,5.1693e-13,-2.4693e-07,0,1,87,1,87,0
0.035784,5.177e-13,-2.4693e-07,0,1,88,1,88,0
0.035754,5.1813e-13,-2.4693e-07,0,1,89,1,89,0
0.035733,5.1831e-13,-2.4693e-07,0,1,90,1,90,0
0.035717,5.1824e-13,-2.4693e-07,0,1,91,1,91,0
0.035706,5.1795e-13,-2.4693e-07,0,1,92,1,92,0
0.035698,5.1735e-13,-2.4693e-07,0,1,93,1,93,0
0.035692,5.1643e-13,-2.4693e-07,0,1,94,1,94,0
0.035687,5.1518e-13,-2.4693e-07,0,1,95,1,95,0
0.035683,5.1362e-13,-2.4693e-07,0,1,96,1,96,0
0.035681,5.1179e-13,-2.4693e-07,0,1,97,1,97,0
0.035678,5.0976e-13,-2.4693e-07,0,1,98,1,98,0
0.035677,5.0744e-13,-2.4693e-07,0,1,99,1,99,0
0.035675,5.047e-13,-2.4693e-07,0,1,100,1,100,0
0.035674,5.0168e-13,-2.4693e-07,0,1,101,1,101,0
0.035672,4.9845e-13,-2.4693e-07,0,1,102,1,102,0
0.035671,4.9483e-13,-2.4693e-07,0,1,103,1,103,0
0.03567,4.909e-13,-2.4693e-07,0,1,104,1,104,0
0.035669,4.867e-13,-2.4693e-07,0,1,105,1,105,0
0.035668,4.8217e-13,-2.4693e-07,0,1,106,1,106,0
0.035667,4.774e-13,-2.4693e-07,0,1,107,1,107,0
0.035666,4.7242e-13,-2.4693e-07,0,1,108,1,108,0
0.035665,4.6704e-13,-2.4693e-07,0,1,109,1,109,0
0.035664,4.6137e-13,-2.4693e-07,0,1,110,1,110,0
0.035663,4.5538e-13,-2.4693e-07,0,1,111,1,111,0
0.035662,4.4897e-13,-2.4693e-07,0,1,112,1,112,0
0.035662,4.4219e-13,-2.4693e-07,0,1,113,1,113,0
0.035661,4.3529e-13,-2.4693e-07,0,1,114,1,114,0
0.03566,4.2815e-13,-2.4693e-07,0,1,115,1,115,0
0.035659,4.2071e-13,-2.4693e-07,0,1,116,1,116,0
0.035658,4.1301e-13,-2.4693e-07,0,1,117,1,117,0
0.035657,4.0497e-13,-2.4693e-07,0,1,118,1,118,0
0.035656,3.9666e-13,-2.4693e-07,0,1,119,1,119,0
0.035655,3.8808e-13,-2.4693e-07,0,1,120,1,120,0
0.035654,3.7916e-13,-2.4693e-07,0,1,121,1,121,0
0.035653,3.6997e-13,-2.4693e-07,0,1,122,1,122,0
0.035652,3.6052e-13,-2.4693e-07,0,1,123,1,123,0
0.035652,3.5072e-13,-2.4693e-07,0,1,124,1,124,0
0.035651,3.407e-13,-2.4693e-07,0,1,125,1,125,0
0.03565,3.3046e-13,-2.4693e-07,0,1,126,1,126,0
0.035649,3.1995e-13,-2.4693e-07,0,1,127,1,127,0
0.035648,3.0918e-13,-2.4693e-07,0,1,128,1,128,0
0.035647,2.9807e-13,-2.4693e-07,0,1,129,1,129,0
0.035646,2.8669e-13,-2.4693e-07,0,1,130,1,130,0
0.035645,2.7504e-13,-2.4693e-07,0,1,131,1,131,0
0.035644,2.6305e-13,-2.4693e-07,0,1,132,1,132,0
0.035643,2.5083e-13,-2.4693e-07,0,1,133,1,133,0
0.035642,2.3839e-13,-2.4693e-07,0,1,134,1,134,0
0.035642,2.2556e-13,-2.4693e-07,0,1,135,1,135,0
0.035641,2.1244e-13,-2.4693e-07,0,1,136,1,136,0
0.03564,1.9912e-13,-2.4693e-07,0,1,137,1,137,0
0.035639,1.8542e-13,-2.4693e-07,0,1,138,1,138,0
0.035638,1.7139e-13,-2.4693e-07,0,1,139,1,139,0
0.035637,1.5711e-13,-2.4693e-07,0,1,140,1,140,0
0.035636,1.4248e-13,-2.4693e-07,0,1,141,1,141,0
0.035635,1.2763e-13,-2.4693e-07,0,1,142,1,142,0
0.035635,1.1255e-13,-2.4693e-07,0,1,143,1,143,0
0.035634,9.7084e-14,-2.4693e-07,0,1,144,1,144,0
0.035633,8.1337e-14,-2.4693e-07,0,1,145,1,145,0
0.035632,6.5395e-14,-2.4693e-07,0,1,146,1,146,0
0.035632,4.9184e-14,-2.4693e-07,0,1,147,1,147,0
0.035631,3.2717e-14,-2.4692e-07,0,1,148,1,148,0
0.035631,1.6249e-14,-2.4692e-07,0,1,149,1,149,0
0.035631,-1.1563e-16,-2.4691e-07,0,1,150,1,150,0
