"rho","U:0","U:1","U:2","T","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.17859,7.6543e-15,-1.2346e-07,0,0.025926,1,0,1,0,0
0.17858,2.375e-14,-1.2346e-07,0,0.025929,1,1,1,1,0
0.17857,3.844e-14,-1.2347e-07,0,0.025932,1,2,1,2,0
0.17856,5.3016e-14,-1.2347e-07,0,0.025935,1,3,1,3,0
0.17854,6.7478e-14,-1.2348e-07,0,0.025938,1,4,1,4,0
0.17853,8.1825e-14,-1.2349e-07,0,0.025941,1,5,1,5,0
0.17851,9.6087e-14,-1.235e-07,0,0.025945,1,6,1,6,0
0.1785,1.1029e-13,-1.2351e-07,0,0.025948,1,7,1,7,0
0.17849,1.2441e-13,-1.2352e-07,0,0.025951,1,8,1,8,0
0.17847,1.3842e-13,-1.2353e-07,0,0.025954,1,9,1,9,0
0.17846,1.5231e-13,-1.2353e-07,0,0.025957,1,10,1,10,0
0.17844,1.6609e-13,-1.2354e-07,0,0.02596,1,11,1,11,0
0.17843,1.7975e-13,-1.2355e-07,0,0.025963,1,12,1,12,0
0.17842,1.933e-13,-1.2356e-07,0,0.025966,1,13,1,13,0
0.1784,2.0674e-13,-1.2357e-07,0,0.025969,1,14,1,14,0
0.17839,2.2006e-13,-1.2358e-07,0,0.025973,1,15,1,15,0
0.17837,2.3325e-13,-1.2359e-07,0,0.025976,1,16,1,16,0
0.17836,2.4636e-13,-1.236e-07,0,0.025979,1,17,1,17,0
0.17834,2.5932e-13,-1.2361e-07,0,0.025982,1,18,1,18,0
0.17833,2.7219e-13,-1.2362e-07,0,0.025985,1,19,1,19,0
0.17832,2.8493e-13,-1.2363e-07,0,0.025988,1,20,1,20,0
0.1783,2.9757e-13,-1.2364e-07,0,0.025991,1,21,1,21,0
0.17829,3.1008e-13,-1.2365e-07,0,0.025994,1,22,1,22,0
0.17827,3.2249e-13,-1.2366e-07,0,0.025997,1,23,1,23,0
0.17826,3.3477e-13,-1.2367e-07,0,0.026001,1,24,1,24,0
0.17824,3.4695e-13,-1.2368e-07,0,0.026004,1,25,1,25,0
0.17823,3.59e-13,-1.2369e-07,0,0.026007,1,26,1,26,0
0.17822,3.7095e-13,-1.237e-07,0,0.02601,1,27,1,27,0
0.1782,3.8277e-13,-1.2371e-07,0,0.026013,1,28,1,28,0
0.17819,3.9449e-13,-1.2372e-07,0,0.026016,1,29,1,29,0
0.17817,4.0609e-13,-1.2373e-07,0,0.026019,1,30,1,30,0
0.17816,4.1757e-13,-1.2374e-07,0,0.026022,1,31,1,31,0
0.17814,4.2894e-13,-1.2375e-07,0,0.026025,1,32,1,32,0
0.17813,4.4019e-13,-1.2376e-07,0,0.026029,1,33,1,33,0
0.17812,4.5133e-13,-1.2377e-07,0,0.026032,1,34,1,34,0
0.1781,4.6237e-13,-1.2378e-07,0,0.026035,1,35,1,35,0
0.17809,4.7338e-13,-1.2379e-07,0,0.026038,1,36,1,36,0
0.17807,4.8428e-13,-1.238e-07,0,0.026041,1,37,1,37,0
0.17806,4.9508e-13,-1.2381e-07,0,0.026044,1,38,1,38,0
0.17804,5.0576e-13,-1.2382e-07,0,0.026047,1,39,1,39,0
0.17803,5.1632e-13,-1.2383e-07,0,0.02605,1,40,1,40,0
